,hypervolume,epsilon_progress,nfe
0,0.0,0,0
1,0.010186794661167523,16,100
2,0.09516510752164051,110,1191
3,0.1318990325414064,173,2285
4,0.16408761144749864,233,3377
5,0.1688484298347294,324,4468
6,0.16909948065424507,342,5555
7,0.16939435615443535,358,6646
8,0.16945480705528518,367,7738
9,0.16941763586194486,379,8819
10,0.16942251823262958,387,9910
11,0.16943823480031525,394,11039
12,0.16955107550451803,412,12239
13,0.16954198137255208,419,13449
14,0.1696004549044823,423,14654
15,0.16958919736072228,429,15855
16,0.16959705587793603,432,17060
17,0.16963993756768578,437,18258
18,0.16965996941239797,442,19462
19,0.169654670278656,443,20669
20,0.16968287904001045,448,21874
21,0.16975431930719745,453,23072
22,0.16975510901871413,455,24275
23,0.16975510901871413,455,25478
24,0.1697635017328389,457,26684
25,0.16970693568150566,461,27884
26,0.16965681635613827,465,29089
27,0.16965681635613827,466,30294
28,0.16965681635613827,466,31504
29,0.16966373341147284,467,32709
30,0.16966566532010954,468,33895
31,0.16966423065911215,470,35097
32,0.16969525498748783,472,36296
33,0.16970563654155796,473,37505
34,0.16970743398040872,474,38712
35,0.16966279999780817,475,39920
36,0.169670210887677,476,41131
37,0.16968394824389943,477,42337
38,0.1696905359358899,481,43543
39,0.16968850952087167,482,44752
40,0.1696775650230326,483,45955
41,0.1696775650230326,484,47163
42,0.1696633899417917,489,48368
43,0.169664704296606,491,49573
