,2_RfR 0,2_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0
0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
2,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0
4,0.0,0.0,0.0,5.0,6.0,8.0,0.0,1.0,5.0,0.0
5,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6,0.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
9,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,1.0,1.0,2.0,9.0,2.0,1.0,0.0,0.0
11,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0
12,0.0,0.0,1.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0
13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,3.0,3.0,7.0,10.0,0.0,0.0,0.0,3.0
15,0.0,0.0,2.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0
